score,percentage,student_id,period,FANBOYS_1,FANBOYS_2,FANBOYS_3,FANBOYS_4,FANBOYS_5,intro_1,Intro_2,intro_3,intro_4,quote_1,quote_2,quote_3,quote_4,quote_5,list_1,list_2,list_3,list_4,date_address_1,date_address_2,date_address_3,date_address_4,adjective_1,adjective_2,adjective_3,adjective_4,extra_1,extra_2,extra_3,extra_4,extra_5,complete_1,complete_2,complete_3,complete_4
20.25,57.9%,24,B8,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0.5,0.25,0.5,1
28.5,81.4%,96,B7,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.5,1
33,94.3%,48,B7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
27,77.1%,141,A4,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.5,0.5
29,82.9%,18,A1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0.25,0.25,0.5,1
14.1,40.3%,92,A4,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0.5,0.25,0.1,0.25
20,57.1%,3,B7,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0.5,0.25,0,0.25
23.2,66.3%,123,A1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0.5,0.5,0.1,0.1
17.5,50.0%,78,A4,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0.5,0.5,0.25,0.25
23.95,68.4%,10,A1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0.1,0.5,0.1,0.25
26.25,75.0%,65,A4,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.25,1,1
26.5,75.7%,54,B7,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0.5,0.5
30.25,86.4%,42,B7,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25
31,88.6%,73,B7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
15.5,44.3%,29,A4,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0.25,0,0.25,0
13.6,38.9%,14,A4,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0.25,1,0.25
29,82.9%,152,B8,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.25,1,0.25
17.75,50.7%,67,B8,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0.5,0.5,0.5,0.25
27.5,78.6%,25,B7,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.5,0.5,0.5
29.5,84.3%,30,B8,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1
21.25,60.7%,35,A4,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0.25,0,0.5,0.5
21.5,61.4%,76,B7,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0.25,1,0.25,1
20.5,58.6%,99,B7,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0.5,0.5,0.25,0.25
30,85.7%,22,B8,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
21.75,62.1%,130,A4,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.5,1,0.25,1
29,82.9%,63,B8,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.5,0.5,1
21.35,61.0%,111,B7,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0.5,0.5,0.1,0.25
25.75,73.6%,139,B7,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.25,0.25,0.25
23.25,66.4%,68,B7,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0.5,0,0.5,0.25
28.25,80.7%,74,B8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0.25,1,1,1
