student_id,period,year,gender,absence_s1,absence_s1_rank,absence_q3,absence_q3_rank,iep,504,ell,asc,delta,study_skills,tag,support,support_class,most_impact_status,impact_with_tag
71,A1,9,male,1,low,1,low,0,0,0,0,0,0,1,0,None,None,TAG
1,A1,9,female,0,low,4,middle,0,0,0,0,0,0,0,0,None,None,None
125,A1,9,female,2,low,1,low,0,0,0,0,0,0,1,0,None,None,TAG
33,A1,9,male,3,low,4,middle,0,0,0,0,0,0,1,0,None,None,TAG
132,A1,9,male,6,middle,14,very high,0,0,0,0,0,0,0,0,None,None,None
20,A1,9,male,3,low,3,middle,1,0,0,0,0,0,0,1,LSC,IEP,IEP
61,A1,9,male,14,high,9,very high,0,1,0,0,0,0,0,1,None,504,504
50,A1,9,male,16,very high,7,high,0,1,0,0,0,1,0,1,Study Skills,504,504
17,A1,9,male,0,low,0,low,0,0,0,0,0,0,1,0,None,None,TAG
18,A1,9,female,0,low,0,low,0,0,0,0,0,0,0,0,None,None,None
113,A1,9,male,2,low,1,low,0,0,0,0,0,0,0,0,None,None,None
10,A1,9,male,6,middle,1,low,0,0,0,0,0,1,0,1,Study Skills,None,None
102,A1,9,male,8,middle,7,high,0,0,0,0,0,0,0,0,None,None,None
75,A1,9,female,10,high,1,low,0,0,0,0,0,0,0,0,None,None,None
150,A1,9,male,1,low,1,low,0,0,0,0,0,0,0,0,None,None,None
19,A1,9,female,16,very high,15,very high,0,0,0,0,0,0,0,0,None,None,None
11,A1,9,male,7,middle,3,middle,0,0,0,0,0,0,0,0,None,None,None
31,A1,9,female,2,low,2,low,0,0,0,0,0,0,0,0,None,None,None
145,A1,9,male,4,low,1,low,0,0,1,0,0,0,1,1,None,ELL,ELL
70,A1,9,male,5,middle,2,low,0,0,0,1,0,0,0,1,ASC,None,None
23,A1,9,male,2,low,3,middle,0,0,0,0,0,0,1,0,None,None,TAG
16,A1,9,male,6,middle,1,low,1,0,0,0,0,0,0,1,LSC,IEP,IEP
9,A1,9,male,5,middle,4,middle,0,1,0,0,0,1,0,1,Study Skills,504,504
123,A1,9,female,5,middle,3,middle,0,1,0,0,0,0,0,1,None,504,504
107,A1,9,female,8,middle,0,low,0,0,0,0,0,0,0,0,None,None,None
90,A1,9,male,8,middle,7,high,0,0,0,0,0,1,0,1,Study Skills,None,None
101,A1,9,female,2,low,1,low,0,0,0,0,0,0,0,0,None,None,None
105,A1,9,female,1,low,3,middle,0,0,0,0,0,0,1,0,None,None,TAG
27,A4,9,female,2,low,1,low,1,0,0,0,0,0,0,1,LSC,IEP,IEP
78,A4,9,male,1,low,1,low,0,0,0,0,0,0,0,0,None,None,None
43,A4,9,female,1,low,1,low,0,0,0,0,0,0,0,0,None,None,None
